ID,Node Statement,"ID, Node Statement"
a_67fI,"As Islam expanded into new regions, its legal and cultural norms regarding marriage, divorce, and women’s roles blended with local customs to create a syncretic system.","a_67fI, As Islam expanded into new regions, its legal and cultural norms regarding marriage, divorce, and women’s roles blended with local customs to create a syncretic system."
a_iuj7,Both the Ottoman and Mughal ruling families emerged in the Islamic world with Turkic or Turkic-Mongol origins that significantly influenced their state-building processes.,"a_iuj7, Both the Ottoman and Mughal ruling families emerged in the Islamic world with Turkic or Turkic-Mongol origins that significantly influenced their state-building processes."
a_rf5W,"The Ottomans began as nomadic tribes from Central Asia who settled in Anatolia, paralleling the migratory origins of the Aztecs who founded Tenochtitlan.","a_rf5W, The Ottomans began as nomadic tribes from Central Asia who settled in Anatolia, paralleling the migratory origins of the Aztecs who founded Tenochtitlan."
c_fEXH,The collapse of the Abbasid Caliphate created a power vacuum that allowed the emergence of successor states such as the Mamluk and Seljuk Empires.,"c_fEXH, The collapse of the Abbasid Caliphate created a power vacuum that allowed the emergence of successor states such as the Mamluk and Seljuk Empires."
c_7rF6,"Dar al-Islam refers to regions where Islamic law predominated, encompassing lands under Muslim rule or influence.","c_7rF6, Dar al-Islam refers to regions where Islamic law predominated, encompassing lands under Muslim rule or influence."
c_3s1L,"Sufis are Islamic mystics who focus on achieving a personal, spiritual connection with God through practices such as meditation and poetic expression.","c_3s1L, Sufis are Islamic mystics who focus on achieving a personal, spiritual connection with God through practices such as meditation and poetic expression."
c_42hH,"The Abbasids were a Muslim dynasty that ruled from 750 to 1258 CE, centered in Baghdad, and are renowned for ushering in a golden age of cultural, scientific, and intellectual achievements.","c_42hH, The Abbasids were a Muslim dynasty that ruled from 750 to 1258 CE, centered in Baghdad, and are renowned for ushering in a golden age of cultural, scientific, and intellectual achievements."
c_8DsQ,"The Seljuks were a Turkish nomadic dynasty that established a powerful empire across Persia and the Middle East during the 11th and 12th centuries, significantly influencing Islamic culture and military developments.","c_8DsQ, The Seljuks were a Turkish nomadic dynasty that established a powerful empire across Persia and the Middle East during the 11th and 12th centuries, significantly influencing Islamic culture and military developments."
c_7yr9,"The Mamluks, originally enslaved soldiers of Turkic origin, rose to power and established the Mamluk Sultanate in Egypt from 1250 to 1517.","c_7yr9, The Mamluks, originally enslaved soldiers of Turkic origin, rose to power and established the Mamluk Sultanate in Egypt from 1250 to 1517."
c_U4wL,"Islam spread across Afro-Eurasia not only through military conquest but also via the efforts of merchants, missionaries, and Sufi mystics who adapted the religion to local cultures.","c_U4wL, Islam spread across Afro-Eurasia not only through military conquest but also via the efforts of merchants, missionaries, and Sufi mystics who adapted the religion to local cultures."
c_9OeB,"Islamic merchants established communities along trade routes, such as the Indian Ocean and trans-Saharan routes, facilitating the spread of Islamic beliefs and practices to Africa and coastal regions.","c_9OeB, Islamic merchants established communities along trade routes, such as the Indian Ocean and trans-Saharan routes, facilitating the spread of Islamic beliefs and practices to Africa and coastal regions."
c_VHWz,"The House of Wisdom in Baghdad was a renowned center of learning where scholars translated Greek, Indian, and Persian works, preserving ancient knowledge and spurring scientific inquiry.","c_VHWz, The House of Wisdom in Baghdad was a renowned center of learning where scholars translated Greek, Indian, and Persian works, preserving ancient knowledge and spurring scientific inquiry."
c_MnTG,"Islamic scholars, exemplified by Nasir al-Din al-Tusi, advanced mathematics by developing trigonometry as a distinct discipline and creating precise astronomical charts.","c_MnTG, Islamic scholars, exemplified by Nasir al-Din al-Tusi, advanced mathematics by developing trigonometry as a distinct discipline and creating precise astronomical charts."
c_vjKZ,"A'ishah al-Ba'uniyyah was a prominent female Muslim writer known for her mystical poetry and scholarly works, exemplifying women’s intellectual contributions in the Islamic world.","c_vjKZ, A'ishah al-Ba'uniyyah was a prominent female Muslim writer known for her mystical poetry and scholarly works, exemplifying women’s intellectual contributions in the Islamic world."
e_FhWV,"Islamic scholars preserved and transmitted knowledge from India and China to Europe, contributing to the foundations of the Renaissance.","e_FhWV, Islamic scholars preserved and transmitted knowledge from India and China to Europe, contributing to the foundations of the Renaissance."
c_xUCJ,"Islamic societies provided women with rights—including property ownership, inheritance, and divorce protections—that were uncommon in many contemporary societies.","c_xUCJ, Islamic societies provided women with rights—including property ownership, inheritance, and divorce protections—that were uncommon in many contemporary societies."
c_ZxbT,"The intellectual exchanges between Muslim, Jewish, and Christian scholars in Al-Andalus fostered significant philosophical developments and cultural synthesis.","c_ZxbT, The intellectual exchanges between Muslim, Jewish, and Christian scholars in Al-Andalus fostered significant philosophical developments and cultural synthesis."
c_n77T,"For nearly 700 years, Spain was part of the Islamic world, known as Al-Andalus, and became a center of culture, science, and learning.","c_n77T, For nearly 700 years, Spain was part of the Islamic world, known as Al-Andalus, and became a center of culture, science, and learning."
c_nttT,"Delhi Sultanate was a medieval Muslim empire based in Delhi, India, which ruled over large parts of the Indian subcontinent from the 13th to the 16th centuries","c_nttT, Delhi Sultanate was a medieval Muslim empire based in Delhi, India, which ruled over large parts of the Indian subcontinent from the 13th to the 16th centuries"
c_6zdH,"The Delhi Sultanate was established in northern India in 1206 through military conquest, marking the beginning of sustained Islamic rule in the region.","c_6zdH, The Delhi Sultanate was established in northern India in 1206 through military conquest, marking the beginning of sustained Islamic rule in the region."
c_0fld,Ibn Khaldun established foundational principles of historiography and sociology through his analyses between 1332 and 1406.,"c_0fld, Ibn Khaldun established foundational principles of historiography and sociology through his analyses between 1332 and 1406."
e_d7Yu,"Islamic medical advancements included the creation of medical texts like the Canon of Medicine by Ibn Sina, which spread throughout Europe and Asia.","e_d7Yu, Islamic medical advancements included the creation of medical texts like the Canon of Medicine by Ibn Sina, which spread throughout Europe and Asia."
KC-3.1.III.D.iii,"Islam, Judaism, Christianity, and the core beliefs and practices of these religions continued to shape societies in Africa and Asia.

","KC-3.1.III.D.iii, Islam, Judaism, Christianity, and the core beliefs and practices of these religions continued to shape societies in Africa and Asia.

"
KC-3.2.I,"As the Abbasid Caliphate fragmented, new Islamic political entities emerged, most of which were dominated by Turkic peoples. These states demonstrated continuity, innovation, and diversity.

","KC-3.2.I, As the Abbasid Caliphate fragmented, new Islamic political entities emerged, most of which were dominated by Turkic peoples. These states demonstrated continuity, innovation, and diversity.

"
KC-3.1.III.A,"Muslim rule continued to expand to many parts of Afro-Eurasia due to military expansion, and Islam subsequently expanded through the activities of merchants, missionaries, and Sufis.

","KC-3.1.III.A, Muslim rule continued to expand to many parts of Afro-Eurasia due to military expansion, and Islam subsequently expanded through the activities of merchants, missionaries, and Sufis.

"
KC-3.2.II.A.i,"Muslim states and empires encouraged significant intellectual innovations and transfers.

.","KC-3.2.II.A.i, Muslim states and empires encouraged significant intellectual innovations and transfers.

."
