Node ID,Node Statement,"Node ID, Node Statement"
c_JT8P,"From the 15th to the 17th centuries, the Ottoman, Safavid, and Mughal Empires, known as the Gunpowder Empires, used firearms and gunpowder technology to expand their territories across Southwest, Central, and South Asia, dominating the Islamic world.","c_JT8P, From the 15th to the 17th centuries, the Ottoman, Safavid, and Mughal Empires, known as the Gunpowder Empires, used firearms and gunpowder technology to expand their territories across Southwest, Central, and South Asia, dominating the Islamic world."
c_PJ08,"In 1453, Mehmed II of the Ottoman Empire captured Constantinople using advanced siege cannons, ending the Byzantine Empire and establishing Ottoman control over the city, which was renamed Istanbul.","c_PJ08, In 1453, Mehmed II of the Ottoman Empire captured Constantinople using advanced siege cannons, ending the Byzantine Empire and establishing Ottoman control over the city, which was renamed Istanbul."
c_PyOJ,"During the reign of Suleiman the Magnificent (1520–1566), the Ottoman Empire reached its peak, expanding into Eastern Europe by conquering Belgrade, Rhodes, and Hungary, twice laying siege to Vienna, and experiencing a golden age of military and artistic development.","c_PyOJ, During the reign of Suleiman the Magnificent (1520–1566), the Ottoman Empire reached its peak, expanding into Eastern Europe by conquering Belgrade, Rhodes, and Hungary, twice laying siege to Vienna, and experiencing a golden age of military and artistic development."
c_998J,"The Ming Dynasty was a Chinese imperial dynasty that overthrew Mongol rule, strengthened the Great Wall, expanded trade, and implemented economic and cultural reforms but weakened due to corruption, heavy taxation, peasant uprisings, and military inefficiency.","c_998J, The Ming Dynasty was a Chinese imperial dynasty that overthrew Mongol rule, strengthened the Great Wall, expanded trade, and implemented economic and cultural reforms but weakened due to corruption, heavy taxation, peasant uprisings, and military inefficiency."
c_tsnh,"The Manchu people established the Qing Dynasty by taking advantage of Ming Dynasty weakness, ruling China until 1911.","c_tsnh, The Manchu people established the Qing Dynasty by taking advantage of Ming Dynasty weakness, ruling China until 1911."
c_3ewX,"From the late 15th century, Russian rulers Ivan III and Ivan IV expanded Muscovite territory by ending Mongol rule and conquering neighboring lands, centralizing power and marking Russia's emergence as a major power.","c_3ewX, From the late 15th century, Russian rulers Ivan III and Ivan IV expanded Muscovite territory by ending Mongol rule and conquering neighboring lands, centralizing power and marking Russia's emergence as a major power."
c_9lyh,"In 1526, Babur, claiming Mongol heritage and practicing Islam, established the Mughal Empire in northern India by defeating the Delhi Sultanate at the Battle of Panipat using superior artillery and gunpowder weapons.","c_9lyh, In 1526, Babur, claiming Mongol heritage and practicing Islam, established the Mughal Empire in northern India by defeating the Delhi Sultanate at the Battle of Panipat using superior artillery and gunpowder weapons."
c_DLCr,"The Safavid Empire emerged as a Shi'a Muslim state in the early 1500s, creating religious and political tension with the neighboring Sunni Ottoman Empire.","c_DLCr, The Safavid Empire emerged as a Shi'a Muslim state in the early 1500s, creating religious and political tension with the neighboring Sunni Ottoman Empire."
c_ZpQ3,"In 1591, Moroccan forces armed with advanced muskets conquered the Songhai Empire, demonstrating the impact of gunpowder technology on political power in West Africa.","c_ZpQ3, In 1591, Moroccan forces armed with advanced muskets conquered the Songhai Empire, demonstrating the impact of gunpowder technology on political power in West Africa."
c_EBnM,"The Safavid and Mughal Empires engaged in conflicts during the 17th century over control of resources and trade routes in present-day Afghanistan, exemplifying the rivalry between land-based empires.","c_EBnM, The Safavid and Mughal Empires engaged in conflicts during the 17th century over control of resources and trade routes in present-day Afghanistan, exemplifying the rivalry between land-based empires."
c_PwHu,"Between 1680 and 1707, the Hindu Maratha Kingdom successfully resisted Mughal expansion, establishing their own empire across India.","c_PwHu, Between 1680 and 1707, the Hindu Maratha Kingdom successfully resisted Mughal expansion, establishing their own empire across India."
c_1DvE,Peter the Great conquered Baltic Sea territory from Sweden to establish St. Petersburg as Russia's warm-water port and new capital.,"c_1DvE, Peter the Great conquered Baltic Sea territory from Sweden to establish St. Petersburg as Russia's warm-water port and new capital."
c_HC45,The Ottoman Empire controlled key eastern Mediterranean trade routes and ports from Constantinople to Egypt throughout the sixteenth century.,"c_HC45, The Ottoman Empire controlled key eastern Mediterranean trade routes and ports from Constantinople to Egypt throughout the sixteenth century."
c_a172,"Gunpowder Empires refers to the Ottoman, Safavid, and Mughal empires, which relied on advanced firearms and artillery to expand and maintain power from the 1400s to 1700s.","c_a172, Gunpowder Empires refers to the Ottoman, Safavid, and Mughal empires, which relied on advanced firearms and artillery to expand and maintain power from the 1400s to 1700s."
KC-4.3.II,"Imperial expansion relied on the increased use of gunpowder, cannons, and armed trade to establish large empires in both hemispheres.","KC-4.3.II, Imperial expansion relied on the increased use of gunpowder, cannons, and armed trade to establish large empires in both hemispheres."
KC-4.3.II.B,"Land empires included the Manchu in Central and East Asia; the Mughal in South and Central Asia; the Ottoman in Southern Europe, the Middle East, and North Africa; and the Safavids in the Middle East.","KC-4.3.II.B, Land empires included the Manchu in Central and East Asia; the Mughal in South and Central Asia; the Ottoman in Southern Europe, the Middle East, and North Africa; and the Safavids in the Middle East."
KC-4.3.III.i,Political and religious disputes led to rivalries and conflict between states.,"KC-4.3.III.i, Political and religious disputes led to rivalries and conflict between states."
c_FqyF,"The Ottoman Empire used the Devshirme system to conscript Christian boys from conquered territories, converting them to Islam and training them as Janissary soldiers or bureaucrats, which strengthened central authority and maintained control over religious minorities.","c_FqyF, The Ottoman Empire used the Devshirme system to conscript Christian boys from conquered territories, converting them to Islam and training them as Janissary soldiers or bureaucrats, which strengthened central authority and maintained control over religious minorities."
c_wNAU,"During the Tokugawa Shogunate, samurai transitioned from warriors to salaried bureaucrats, helping to centralize administrative control in Japan.","c_wNAU, During the Tokugawa Shogunate, samurai transitioned from warriors to salaried bureaucrats, helping to centralize administrative control in Japan."
c_oyO4,"European monarchs used the notion of divine right to legitimize their rule, claiming their authority came directly from God and they were accountable only to God.","c_oyO4, European monarchs used the notion of divine right to legitimize their rule, claiming their authority came directly from God and they were accountable only to God."
c_HjKZ,"Rulers of the Songhai Empire promoted Islam to legitimize their authority, with leaders like Askia Mohammed using Islamic religious and legal frameworks to consolidate power.","c_HjKZ, Rulers of the Songhai Empire promoted Islam to legitimize their authority, with leaders like Askia Mohammed using Islamic religious and legal frameworks to consolidate power."
c_UtZ7,"Qing emperors, such as Kangxi, used imperial portraits incorporating Confucian symbolism to legitimize Manchu rule over the Chinese population.","c_UtZ7, Qing emperors, such as Kangxi, used imperial portraits incorporating Confucian symbolism to legitimize Manchu rule over the Chinese population."
c_38lX,"Shah Jahan commissioned monumental architecture such as the Taj Mahal to demonstrate Mughal imperial power and artistic achievement, blending Islamic and local Indian styles.","c_38lX, Shah Jahan commissioned monumental architecture such as the Taj Mahal to demonstrate Mughal imperial power and artistic achievement, blending Islamic and local Indian styles."
c_1601,"Louis XIV built the Palace of Versailles as a symbol of absolute power, requiring nobles to live there, thereby controlling them and consolidating royal authority in France.","c_1601, Louis XIV built the Palace of Versailles as a symbol of absolute power, requiring nobles to live there, thereby controlling them and consolidating royal authority in France."
c_aLVy,"The Mughal Empire employed zamindars, local landowners, as tax collectors and administrators, integrating both Hindus and Muslims into the bureaucracy to manage tax collection and governance.","c_aLVy, The Mughal Empire employed zamindars, local landowners, as tax collectors and administrators, integrating both Hindus and Muslims into the bureaucracy to manage tax collection and governance."
c_Xxg5,"The Ottoman Empire used tax farming, auctioning off the right to collect taxes to private individuals who paid a fixed sum to the government and kept extra revenue, securing revenue and extending administrative control.","c_Xxg5, The Ottoman Empire used tax farming, auctioning off the right to collect taxes to private individuals who paid a fixed sum to the government and kept extra revenue, securing revenue and extending administrative control."
c_VaCS,"The Ming Dynasty in China transitioned to collecting taxes in hard currency (silver), which helped stabilize the economy but increased reliance on foreign silver sources.","c_VaCS, The Ming Dynasty in China transitioned to collecting taxes in hard currency (silver), which helped stabilize the economy but increased reliance on foreign silver sources."
c_a1b2,"The devshirme system was an Ottoman practice of recruiting and converting Christian boys from conquered territories, providing educated administrators and soldiers for the empire's bureaucracy and military.","c_a1b2, The devshirme system was an Ottoman practice of recruiting and converting Christian boys from conquered territories, providing educated administrators and soldiers for the empire's bureaucracy and military."
c_c3d4,"Janissaries were elite Ottoman soldiers, originally Christian boys taken through the devshirme system and converted to Islam, who served as the sultan’s personal guard and a permanent, professional military force.","c_c3d4, Janissaries were elite Ottoman soldiers, originally Christian boys taken through the devshirme system and converted to Islam, who served as the sultan’s personal guard and a permanent, professional military force."
c_e5f6,"The Tokugawa Shogunate was a military government that ruled Japan from 1603 to 1867, establishing a centralized feudal system with strict social hierarchy and isolation policies.","c_e5f6, The Tokugawa Shogunate was a military government that ruled Japan from 1603 to 1867, establishing a centralized feudal system with strict social hierarchy and isolation policies."
c_g7h8,"Zamindars were hereditary Indian landowners who collected taxes and maintained law and order in their territories, serving as intermediaries between peasants and the Mughal government.","c_g7h8, Zamindars were hereditary Indian landowners who collected taxes and maintained law and order in their territories, serving as intermediaries between peasants and the Mughal government."
c_i9j0,"Tax farming was an administrative system where governments sold the right to collect taxes to private individuals, who paid a fixed sum upfront and profited from any additional collection.","c_i9j0, Tax farming was an administrative system where governments sold the right to collect taxes to private individuals, who paid a fixed sum upfront and profited from any additional collection."
KC-4.3.I.C,"Recruitment and use of bureaucratic elites, as well as the development of military professionals, became more common among rulers who wanted to maintain centralized control over their populations and resources.","KC-4.3.I.C, Recruitment and use of bureaucratic elites, as well as the development of military professionals, became more common among rulers who wanted to maintain centralized control over their populations and resources."
KC-4.3.I.A,"Rulers continued to use religious ideas, art, and monumental architecture to legitimize their rule.","KC-4.3.I.A, Rulers continued to use religious ideas, art, and monumental architecture to legitimize their rule."
KC-4.3.I.D,"Rulers used tribute collection, tax farming, and innovative tax-collection systems to generate revenue in order to forward state power and expansion.","KC-4.3.I.D, Rulers used tribute collection, tax farming, and innovative tax-collection systems to generate revenue in order to forward state power and expansion."
c_Afbn,"In 1517, Martin Luther posted his 95 Theses criticizing the Catholic Church's practice of selling indulgences, sparking the Protestant Reformation.","c_Afbn, In 1517, Martin Luther posted his 95 Theses criticizing the Catholic Church's practice of selling indulgences, sparking the Protestant Reformation."
c_wDdJ,"Martin Luther advocated for salvation through faith alone and direct access to God through Scripture, challenging the Catholic Church's role as intermediary.","c_wDdJ, Martin Luther advocated for salvation through faith alone and direct access to God through Scripture, challenging the Catholic Church's role as intermediary."
