Node ID,Node Statement,"Node ID, Node Statement"
c_tuYB,"Key navigation technologies, such as the magnetic compass from Han Dynasty China and the astrolabe improved by Muslim navigators, were crucial for European maritime exploration between 1450 and 1750.","c_tuYB, Key navigation technologies, such as the magnetic compass from Han Dynasty China and the astrolabe improved by Muslim navigators, were crucial for European maritime exploration between 1450 and 1750."
c_9mdQ,"Innovations in shipbuilding like the Portuguese Caravel and Carrack, the Dutch Fluyt, and the Spanish Galleon were key to European maritime exploration.","c_9mdQ, Innovations in shipbuilding like the Portuguese Caravel and Carrack, the Dutch Fluyt, and the Spanish Galleon were key to European maritime exploration."
c_e5f6,"A carrack was a large, three- or four-masted sailing ship developed in the 14th-15th centuries, designed for both cargo carrying and naval warfare.","c_e5f6, A carrack was a large, three- or four-masted sailing ship developed in the 14th-15th centuries, designed for both cargo carrying and naval warfare."
c_g7h8,"The fluyt was a Dutch cargo ship designed in the 16th century, featuring a large cargo capacity and requiring a smaller crew, which made it more economically efficient for maritime trade.","c_g7h8, The fluyt was a Dutch cargo ship designed in the 16th century, featuring a large cargo capacity and requiring a smaller crew, which made it more economically efficient for maritime trade."
c_k1l2,"The sternpost rudder was a hinged steering device mounted at a ship's stern, providing better maneuverability than traditional side-mounted rudders.","c_k1l2, The sternpost rudder was a hinged steering device mounted at a ship's stern, providing better maneuverability than traditional side-mounted rudders."
c_nQTr,"Advancements in maritime technologies from 1450 to 1750, facilitated by cross-cultural interactions, reshaped global trade and travel patterns by enabling longer voyages and reducing reliance on overland routes.","c_nQTr, Advancements in maritime technologies from 1450 to 1750, facilitated by cross-cultural interactions, reshaped global trade and travel patterns by enabling longer voyages and reducing reliance on overland routes."
c_hWfi,"During the Renaissance, Europeans improved cartography by developing more accurate maps and astronomical charts, including the Mercator projection introduced in the mid-1500s, which revolutionized navigation.","c_hWfi, During the Renaissance, Europeans improved cartography by developing more accurate maps and astronomical charts, including the Mercator projection introduced in the mid-1500s, which revolutionized navigation."
c_ZAmP,"The Portuguese caravel combined square and lateen sails and was designed for speed and maneuverability, enabling long-distance oceanic exploration in the 15th century.","c_ZAmP, The Portuguese caravel combined square and lateen sails and was designed for speed and maneuverability, enabling long-distance oceanic exploration in the 15th century."
c_a1b2,"An astrolabe was a navigation instrument that allowed sailors to determine their latitude by measuring the altitude of celestial bodies, particularly the sun and stars.","c_a1b2, An astrolabe was a navigation instrument that allowed sailors to determine their latitude by measuring the altitude of celestial bodies, particularly the sun and stars."
c_i9j0,"The lateen sail was a triangular sail developed in the Mediterranean, allowing ships to sail effectively against the wind by tacking, crucial for exploring the Indian Ocean and Atlantic.","c_i9j0, The lateen sail was a triangular sail developed in the Mediterranean, allowing ships to sail effectively against the wind by tacking, crucial for exploring the Indian Ocean and Atlantic."
