Node ID,Node Statement,"Node ID, Node Statement"
c_093G,"Tsar Nicholas II was the last emperor of Russia, whose failure to address political and economic crises contributed to the Russian Revolution.","c_093G, Tsar Nicholas II was the last emperor of Russia, whose failure to address political and economic crises contributed to the Russian Revolution."
c_MUkO,"Events like the Bloody Sunday massacre in 1905, when Russian troops fired on peaceful protesters, increased revolutionary sentiment against Tsar Nicholas II.","c_MUkO, Events like the Bloody Sunday massacre in 1905, when Russian troops fired on peaceful protesters, increased revolutionary sentiment against Tsar Nicholas II."
c_xwe8,"Bolsheviks were a radical socialist faction in Russia, led by Vladimir Lenin, that advocated for a proletarian revolution and later took control of the government.","c_xwe8, Bolsheviks were a radical socialist faction in Russia, led by Vladimir Lenin, that advocated for a proletarian revolution and later took control of the government."
c_mP9R,The Russian Revolution was a series of uprisings in 1917 that led to the collapse of the Tsarist monarchy and the establishment of a communist government under Bolshevik rule.,"c_mP9R, The Russian Revolution was a series of uprisings in 1917 that led to the collapse of the Tsarist monarchy and the establishment of a communist government under Bolshevik rule."
c_B9fa,"The Mexican Revolution began as a response to severe economic inequality, wealth concentration, foreign ownership of resources, and the dictatorship of Porfirio Díaz.","c_B9fa, The Mexican Revolution began as a response to severe economic inequality, wealth concentration, foreign ownership of resources, and the dictatorship of Porfirio Díaz."
c_9iU7,"Land redistribution was a key goal of the Mexican Revolution, aiming to return land from wealthy elites and foreign corporations to peasants and indigenous communities.","c_9iU7, Land redistribution was a key goal of the Mexican Revolution, aiming to return land from wealthy elites and foreign corporations to peasants and indigenous communities."
c_fdS0,Key figures like Emiliano Zapata and Pancho Villa led peasant armies demanding land redistribution and social reforms during the Mexican Revolution.,"c_fdS0, Key figures like Emiliano Zapata and Pancho Villa led peasant armies demanding land redistribution and social reforms during the Mexican Revolution."
c_0a65,"The 1917 Mexican Constitution established principles of land redistribution, universal suffrage, separation of church and state, and public education, laying the foundation for modern Mexico.","c_0a65, The 1917 Mexican Constitution established principles of land redistribution, universal suffrage, separation of church and state, and public education, laying the foundation for modern Mexico."
c_n8Az,"The Ottoman Empire declined significantly between 1800 and 1913 which earned it the label ""sick man of Europe,"" as it lost territories across the Balkans, North Africa, and the Caucasus while facing increasing demands for independence from its subject peoples, particularly Serbs and Arabs who sought to establish their own nation-states.","c_n8Az, The Ottoman Empire declined significantly between 1800 and 1913 which earned it the label ""sick man of Europe,"" as it lost territories across the Balkans, North Africa, and the Caucasus while facing increasing demands for independence from its subject peoples, particularly Serbs and Arabs who sought to establish their own nation-states."
c_CcFq,"After 1918, the Ottoman Empire was dismantled, leading to the establishment of new nations and reducing it to Turkey.","c_CcFq, After 1918, the Ottoman Empire was dismantled, leading to the establishment of new nations and reducing it to Turkey."
c_K8YS,"The Qing Dynasty was overthrown by revolutionaries in 1911, ending over 2,000 years of imperial rule and leading to the establishment of the Republic of China.","c_K8YS, The Qing Dynasty was overthrown by revolutionaries in 1911, ending over 2,000 years of imperial rule and leading to the establishment of the Republic of China."
c_eVka,"During the Qing Dynasty, the ruling Manchu minority's deliberate cultural separation from the Han Chinese majority created ethnic tensions that weakened the empire's ability to collect sufficient tax revenue and maintain essential infrastructure.","c_eVka, During the Qing Dynasty, the ruling Manchu minority's deliberate cultural separation from the Han Chinese majority created ethnic tensions that weakened the empire's ability to collect sufficient tax revenue and maintain essential infrastructure."
c_SP44,The assassination of Archduke Franz Ferdinand of Austria-Hungary by a Serbian nationalist in 1914 triggered the chain of alliances leading to World War I.,"c_SP44, The assassination of Archduke Franz Ferdinand of Austria-Hungary by a Serbian nationalist in 1914 triggered the chain of alliances leading to World War I."
c_NDBR,"Militarism in pre-World War I Europe involved aggressive military buildup and arms races, increasing tensions among nations.","c_NDBR, Militarism in pre-World War I Europe involved aggressive military buildup and arms races, increasing tensions among nations."
c_2wq1,"Arms races are competitions between nations to develop and stockpile advanced weapons, particularly nuclear arms, to gain military superiority.","c_2wq1, Arms races are competitions between nations to develop and stockpile advanced weapons, particularly nuclear arms, to gain military superiority."
c_FfBp,"European powers had detailed military mobilization plans that, once initiated, were difficult to halt, contributing to the escalation of World War I.","c_FfBp, European powers had detailed military mobilization plans that, once initiated, were difficult to halt, contributing to the escalation of World War I."
c_HkIt,"Imperialism led to conflict between nations, as European powers competed for global influence, resources, and colonies, increasing international tensions.","c_HkIt, Imperialism led to conflict between nations, as European powers competed for global influence, resources, and colonies, increasing international tensions."
c_L6PN,"Nationalism fueled rivalries and conflicts over territories, contributing to tensions that led to World War I.","c_L6PN, Nationalism fueled rivalries and conflicts over territories, contributing to tensions that led to World War I."
c_1Tgs,"World War I expanded globally through colonial ties and alliances, involving over 40 countries.","c_1Tgs, World War I expanded globally through colonial ties and alliances, involving over 40 countries."
c_jiHt,"Complex mutual defense alliances in Europe meant that an attack on one nation could draw multiple countries into conflict, escalating local events into World War I.","c_jiHt, Complex mutual defense alliances in Europe meant that an attack on one nation could draw multiple countries into conflict, escalating local events into World War I."
c_p51X,"The Triple Alliance included Germany, Austria-Hungary, and Italy, but Italy later joined the Allies.","c_p51X, The Triple Alliance included Germany, Austria-Hungary, and Italy, but Italy later joined the Allies."
c_S7Vf,"The Triple Entente united Britain, France, and Russia as a counterbalance to the Triple Alliance.","c_S7Vf, The Triple Entente united Britain, France, and Russia as a counterbalance to the Triple Alliance."
