Node ID,Node Statement,"Node ID, Node Statement"
c_poOu,"Social Darwinism applied Charles Darwin’s theories of natural selection to human societies, promoting the idea that stronger nations and races were destined to dominate weaker ones.","c_poOu, Social Darwinism applied Charles Darwin’s theories of natural selection to human societies, promoting the idea that stronger nations and races were destined to dominate weaker ones."
c_xum3,"Scientific racism used pseudoscientific theories to justify racial hierarchies, arguing that some races were biologically superior to others.","c_xum3, Scientific racism used pseudoscientific theories to justify racial hierarchies, arguing that some races were biologically superior to others."
c_DtQY,"The Industrial Revolution increased European demand for raw materials and markets, driving imperial expansion as nations sought colonies to supply resources and purchase manufactured goods.","c_DtQY, The Industrial Revolution increased European demand for raw materials and markets, driving imperial expansion as nations sought colonies to supply resources and purchase manufactured goods."
c_954f,"The Sino-Japanese War was a conflict between China and Japan over control of Korea, ending in Japan’s victory and forcing China to cede territory and recognize Korea’s independence.","c_954f, The Sino-Japanese War was a conflict between China and Japan over control of Korea, ending in Japan’s victory and forcing China to cede territory and recognize Korea’s independence."
c_PUaC,"Japan’s emergence as a non-Western imperial power in the late 19th century was marked by its military victories, including the defeat of China in the Sino-Japanese War, which expanded Japanese control to Taiwan and Korea.","c_PUaC, Japan’s emergence as a non-Western imperial power in the late 19th century was marked by its military victories, including the defeat of China in the Sino-Japanese War, which expanded Japanese control to Taiwan and Korea."
c_2269,"European trading companies, like the British East India Company and the Dutch VOC, evolved from commercial enterprises into colonial powers, acquiring governmental and military control over territories in Asia and Africa.","c_2269, European trading companies, like the British East India Company and the Dutch VOC, evolved from commercial enterprises into colonial powers, acquiring governmental and military control over territories in Asia and Africa."
c_o8K8,"Missionary activities often preceded colonial expansion, facilitating cultural transformation by spreading Christianity and establishing schools and healthcare services in colonized regions.","c_o8K8, Missionary activities often preceded colonial expansion, facilitating cultural transformation by spreading Christianity and establishing schools and healthcare services in colonized regions."
c_l4tC,Nationalism in 19th-century Europe drove countries like Italy and Germany to establish overseas empires as symbols of national strength.,"c_l4tC, Nationalism in 19th-century Europe drove countries like Italy and Germany to establish overseas empires as symbols of national strength."
c_QZal,"Colonial powers imposed their languages, institutions, and education systems on indigenous populations to reshape societies according to European models, often suppressing native traditions.","c_QZal, Colonial powers imposed their languages, institutions, and education systems on indigenous populations to reshape societies according to European models, often suppressing native traditions."
c_hvAA,"The Indian Removal Act of 1830 forced the Cherokee and other Southeastern tribes to relocate to present-day Oklahoma, exemplifying the U.S. policy of westward expansion at the expense of indigenous peoples.","c_hvAA, The Indian Removal Act of 1830 forced the Cherokee and other Southeastern tribes to relocate to present-day Oklahoma, exemplifying the U.S. policy of westward expansion at the expense of indigenous peoples."
c_x9iY,"The Trail of Tears was the forced migration of the Cherokee and other tribes to present-day Oklahoma, causing thousands of deaths due to exposure and disease.","c_x9iY, The Trail of Tears was the forced migration of the Cherokee and other tribes to present-day Oklahoma, causing thousands of deaths due to exposure and disease."
c_TkUD,"Japan challenged China's influence in Korea, leading to the Sino-Japanese War and resulting in Japanese control of Korea and Taiwan.","c_TkUD, Japan challenged China's influence in Korea, leading to the Sino-Japanese War and resulting in Japanese control of Korea and Taiwan."
c_VAxg,"The British colonization of Australia began in 1788 with convict settlements in New South Wales, leading to the displacement of Aboriginal peoples.","c_VAxg, The British colonization of Australia began in 1788 with convict settlements in New South Wales, leading to the displacement of Aboriginal peoples."
c_kpy7,The Belgian Congo transformed from King Leopold II's private colony to government control due to public outrage over rubber exploitation atrocities.,"c_kpy7, The Belgian Congo transformed from King Leopold II's private colony to government control due to public outrage over rubber exploitation atrocities."
c_Sw3T,"The Dutch East India Company controlled trade in the Dutch East Indies until 1799, when the Dutch government assumed direct control.","c_Sw3T, The Dutch East India Company controlled trade in the Dutch East Indies until 1799, when the Dutch government assumed direct control."
c_Vj2B,"European imperial powers expanded their empires in Africa through warfare and diplomacy, exemplified by British, French, and Belgian colonization efforts.","c_Vj2B, European imperial powers expanded their empires in Africa through warfare and diplomacy, exemplified by British, French, and Belgian colonization efforts."
c_QF5J,"Otto von Bismarck hosted the Berlin Conference to establish rules for European colonization of Africa, with no African representatives present at the negotiations.","c_QF5J, Otto von Bismarck hosted the Berlin Conference to establish rules for European colonization of Africa, with no African representatives present at the negotiations."
c_2R7P,"European powers at the Berlin Conference drew artificial colonial boundaries across Africa, dividing ethnic groups and combining rival populations, leading to future conflicts after independence.","c_2R7P, European powers at the Berlin Conference drew artificial colonial boundaries across Africa, dividing ethnic groups and combining rival populations, leading to future conflicts after independence."
c_M9Z4,"The discovery of diamonds and gold in South Africa intensified British interest in controlling the Boer republics, leading to increased tensions.","c_M9Z4, The discovery of diamonds and gold in South Africa intensified British interest in controlling the Boer republics, leading to increased tensions."
c_J6KD,"The First Boer War ended in Boer victory, but the Second Boer War resulted in British conquest through overwhelming military force and scorched earth tactics.","c_J6KD, The First Boer War ended in Boer victory, but the Second Boer War resulted in British conquest through overwhelming military force and scorched earth tactics."
c_U8XC,"The ""Scramble for Africa"" began in the 1880s as European nations raced to claim African territories, transforming the continent from largely independent states to one almost entirely under European control.","c_U8XC, The ""Scramble for Africa"" began in the 1880s as European nations raced to claim African territories, transforming the continent from largely independent states to one almost entirely under European control."
c_N5G1,"King Leopold II established the Congo Free State as his personal property in 1885, exploiting it for rubber and ivory until international pressure forced him to transfer it to Belgian state control in 1908.","c_N5G1, King Leopold II established the Congo Free State as his personal property in 1885, exploiting it for rubber and ivory until international pressure forced him to transfer it to Belgian state control in 1908."
c_P3LX,"The Dutch East India Company controlled Indonesia through private enterprise until 1800, when the Dutch government took direct control after the company's bankruptcy.","c_P3LX, The Dutch East India Company controlled Indonesia through private enterprise until 1800, when the Dutch government took direct control after the company's bankruptcy."
c_is86,"The Sepoy Rebellion of 1857 was an Indian revolt against British rule, sparked by religious grievances and British military practices, leading to the dissolution of the British East India Company.","c_is86, The Sepoy Rebellion of 1857 was an Indian revolt against British rule, sparked by religious grievances and British military practices, leading to the dissolution of the British East India Company."
c_H3B2,"British control in India shifted from East India Company rule to direct crown control in 1858 following the Sepoy Rebellion, establishing the British Raj.","c_H3B2, British control in India shifted from East India Company rule to direct crown control in 1858 following the Sepoy Rebellion, establishing the British Raj."
c_p90U,"The British Raj was the period of direct British rule over India from 1858 to 1947, following the collapse of the British East India Company’s control.","c_p90U, The British Raj was the period of direct British rule over India from 1858 to 1947, following the collapse of the British East India Company’s control."
c_HZ98,Trading companies like the British East India Company initially focused on commerce but gradually acquired governmental powers over territories.,"c_HZ98, Trading companies like the British East India Company initially focused on commerce but gradually acquired governmental powers over territories."
c_I8EA,"The Indian Rebellion of 1857 began when Indian soldiers, or sepoys, revolted against the British East India Company due to the introduction of rifle cartridges greased with cow and pig fat, offending Hindu and Muslim religious practices.","c_I8EA, The Indian Rebellion of 1857 began when Indian soldiers, or sepoys, revolted against the British East India Company due to the introduction of rifle cartridges greased with cow and pig fat, offending Hindu and Muslim religious practices."
