Node ID,Node Statement,"Node ID, Node Statement"
c_vQ3j,Separation of powers is a political theory that divides government authority among distinct branches to prevent any single group from accumulating too much power.,"c_vQ3j, Separation of powers is a political theory that divides government authority among distinct branches to prevent any single group from accumulating too much power."
c_Slm5,"The 1848 Seneca Falls Convention established key demands for women's rights including voting, property ownership, and legal guardianship of children.","c_Slm5, The 1848 Seneca Falls Convention established key demands for women's rights including voting, property ownership, and legal guardianship of children."
c_Ip1m,"Enlightenment ideals of natural rights, individual liberty, and equality influenced revolutionary movements in the United States, France, Haiti, and Latin America during the 18th and 19th centuries.","c_Ip1m, Enlightenment ideals of natural rights, individual liberty, and equality influenced revolutionary movements in the United States, France, Haiti, and Latin America during the 18th and 19th centuries."
c_z6iZ,"The concept of nationalism emerged in the 19th century, promoting the idea that people sharing a cultural identity should have their own nation-state, which threatened multiethnic empires.","c_z6iZ, The concept of nationalism emerged in the 19th century, promoting the idea that people sharing a cultural identity should have their own nation-state, which threatened multiethnic empires."
c_A1b2,"In the 18th century, abolitionism emerged as a reform movement advocating the end of the Atlantic slave trade, the liberation of all enslaved people, and the abolition of serfdom to promote rights and equality.","c_A1b2, In the 18th century, abolitionism emerged as a reform movement advocating the end of the Atlantic slave trade, the liberation of all enslaved people, and the abolition of serfdom to promote rights and equality."
c_PMs6,"The American Revolution began after British colonists protested taxation without representation, demanding self-government and the right to vote on taxes imposed by the British Parliament.","c_PMs6, The American Revolution began after British colonists protested taxation without representation, demanding self-government and the right to vote on taxes imposed by the British Parliament."
c_rx1q,"The Declaration of Independence, adopted in 1776, drew from Enlightenment principles of popular sovereignty, natural rights, and the social contract, articulating the colonies' intention to separate from British rule.","c_rx1q, The Declaration of Independence, adopted in 1776, drew from Enlightenment principles of popular sovereignty, natural rights, and the social contract, articulating the colonies' intention to separate from British rule."
c_IXFC,"The Haitian Revolution, led by Toussaint L'Ouverture, was the only successful slave revolt leading to permanent independence, resulting in Haiti's establishment as a free republic in 1804.","c_IXFC, The Haitian Revolution, led by Toussaint L'Ouverture, was the only successful slave revolt leading to permanent independence, resulting in Haiti's establishment as a free republic in 1804."
c_IA8z,"The French Revolution began in 1789 when financial crisis and social inequality led the Third Estate to form the National Assembly, resulting in the overthrow of the monarchy and the establishment of a republic based on Enlightenment principles.","c_IA8z, The French Revolution began in 1789 when financial crisis and social inequality led the Third Estate to form the National Assembly, resulting in the overthrow of the monarchy and the establishment of a republic based on Enlightenment principles."
c_GEil,"The Reign of Terror, led by Maximilien Robespierre and the Jacobins, executed thousands of perceived opponents to the French Revolution, including King Louis XVI and Queen Marie Antoinette.","c_GEil, The Reign of Terror, led by Maximilien Robespierre and the Jacobins, executed thousands of perceived opponents to the French Revolution, including King Louis XVI and Queen Marie Antoinette."
c_hBiK,"The Haitian Revolution began in 1791 when enslaved people, inspired by Enlightenment ideals and the French Revolution, fought for freedom against French colonial rule.","c_hBiK, The Haitian Revolution began in 1791 when enslaved people, inspired by Enlightenment ideals and the French Revolution, fought for freedom against French colonial rule."
c_tLxQ,"The Third Estate was the branch of pre-revolutionary France’s Estates-General representing commoners—including the bourgeoisie, workers, and peasants—separate from the clergy (First Estate) and nobility (Second Estate).","c_tLxQ, The Third Estate was the branch of pre-revolutionary France’s Estates-General representing commoners—including the bourgeoisie, workers, and peasants—separate from the clergy (First Estate) and nobility (Second Estate)."
c_r8sR,"Popular sovereignty is a political principle asserting that legitimate political power originates from the people, allowing citizens to modify or overthrow governments that fail to protect their natural rights and collective will.","c_r8sR, Popular sovereignty is a political principle asserting that legitimate political power originates from the people, allowing citizens to modify or overthrow governments that fail to protect their natural rights and collective will."
c_3KpV,"Ottomanism was an ideology promoting religious equality and uniform citizenship by placing independent community schools under state control and enforcing a standardized curriculum, a move vehemently opposed by religious leaders.","c_3KpV, Ottomanism was an ideology promoting religious equality and uniform citizenship by placing independent community schools under state control and enforcing a standardized curriculum, a move vehemently opposed by religious leaders."
c_6qMv,The Propaganda Movement was an intellectual campaign by Filipino reformists to challenge Spanish oppression through cultural and political discourse in the late 19th century.,"c_6qMv, The Propaganda Movement was an intellectual campaign by Filipino reformists to challenge Spanish oppression through cultural and political discourse in the late 19th century."
c_4Nzc,"Enlightenment principles inspired Balkan nationalism in southeastern Europe, where diverse ethnic groups developed collective identities shaped by shared cultural markers like language, traditions, history, and religion.","c_4Nzc, Enlightenment principles inspired Balkan nationalism in southeastern Europe, where diverse ethnic groups developed collective identities shaped by shared cultural markers like language, traditions, history, and religion."
c_yh6m,"Toussaint Louverture led the Haitian Revolution, successfully defeating France and establishing Haiti as the first independent Black-led republic in the Western Hemisphere.","c_yh6m, Toussaint Louverture led the Haitian Revolution, successfully defeating France and establishing Haiti as the first independent Black-led republic in the Western Hemisphere."
c_oYiQ,"Latin American independence movements between 1810 and 1825, led by creole elites like Simón Bolívar and José de San Martín, resulted in the emergence of new nations but often maintained existing social hierarchies.","c_oYiQ, Latin American independence movements between 1810 and 1825, led by creole elites like Simón Bolívar and José de San Martín, resulted in the emergence of new nations but often maintained existing social hierarchies."
c_F9Fs,"Nationalism emerged in the 19th century as both a unifying and divisive force, leading to new nation-states like Germany and Italy while contributing to the dissolution of multi-ethnic empires such as the Ottoman and Austro-Hungarian Empires.","c_F9Fs, Nationalism emerged in the 19th century as both a unifying and divisive force, leading to new nation-states like Germany and Italy while contributing to the dissolution of multi-ethnic empires such as the Ottoman and Austro-Hungarian Empires."
c_1Mul,"Military leaders in Italy and Germany used nationalist sentiment, along with military action and diplomacy, to unite fragmented states into unified nations by 1871.","c_1Mul, Military leaders in Italy and Germany used nationalist sentiment, along with military action and diplomacy, to unite fragmented states into unified nations by 1871."
c_Xk4Q,"The Ottoman Empire attempted to use policies like Ottomanism to maintain unity in the face of rising nationalist movements, but ultimately faced challenges as nationalism inspired independence movements within its territories.","c_Xk4Q, The Ottoman Empire attempted to use policies like Ottomanism to maintain unity in the face of rising nationalist movements, but ultimately faced challenges as nationalism inspired independence movements within its territories."
C_mN4p,"The New Zealand Wars were conflicts between the British colonial government and Māori tribes over land and sovereignty, which fueled the rise of Māori nationalism as indigenous people sought to resist colonial encroachment and assert their rights.","C_mN4p, The New Zealand Wars were conflicts between the British colonial government and Māori tribes over land and sovereignty, which fueled the rise of Māori nationalism as indigenous people sought to resist colonial encroachment and assert their rights."
C_Q8kL,The Philippine Revolution of 1896 emerged as the first serious military challenge to Spanish colonial rule following the Propaganda Movement.,"C_Q8kL, The Philippine Revolution of 1896 emerged as the first serious military challenge to Spanish colonial rule following the Propaganda Movement."
C_Z7xV,German and Italian unification by 1871 created two new major powers in Europe's system of competing alliances.,"C_Z7xV, German and Italian unification by 1871 created two new major powers in Europe's system of competing alliances."
C_T9sD,"Western European Enlightenment principles inspired Balkan nationalism, which was shaped by shared cultural markers like language, traditions, history, and religion.","C_T9sD, Western European Enlightenment principles inspired Balkan nationalism, which was shaped by shared cultural markers like language, traditions, history, and religion."
c_r59h,"Britain's abundant coal and iron resources enabled the development of steam engines and machinery, essential for the Industrial Revolution.","c_r59h, Britain's abundant coal and iron resources enabled the development of steam engines and machinery, essential for the Industrial Revolution."
c_xHh0,"The proximity of Britain to waterways, including rivers and canals, facilitated the efficient transportation of raw materials and finished goods, contributing to industrial growth.","c_xHh0, The proximity of Britain to waterways, including rivers and canals, facilitated the efficient transportation of raw materials and finished goods, contributing to industrial growth."
c_jrsK,"The Agricultural Revolution in Britain increased food production through improved farming methods, such as crop rotation and the seed drill, allowing more people to work in industry.","c_jrsK, The Agricultural Revolution in Britain increased food production through improved farming methods, such as crop rotation and the seed drill, allowing more people to work in industry."
c_YGmc,"The enclosure movement privatized common lands in Britain, leading to efficient farming practices and forcing rural workers to migrate to cities for industrial employment.","c_YGmc, The enclosure movement privatized common lands in Britain, leading to efficient farming practices and forcing rural workers to migrate to cities for industrial employment."
c_qdjj,"England’s stable political system, with legal protections for private property, fostered a climate of entrepreneurial activity.","c_qdjj, England’s stable political system, with legal protections for private property, fostered a climate of entrepreneurial activity."
c_GbqY,"The accumulation of capital from transatlantic trade—drawing on profits from a variety of ventures rather than relying predominantly on the slave trade, which chiefly enriched the Portuguese—provided critical investment funding for British industrial enterprises.","c_GbqY, The accumulation of capital from transatlantic trade—drawing on profits from a variety of ventures rather than relying predominantly on the slave trade, which chiefly enriched the Portuguese—provided critical investment funding for British industrial enterprises."
c_Iuwt,"Britain's maritime empire provided access to foreign resources, including cotton and timber, vital for industrialization.","c_Iuwt, Britain's maritime empire provided access to foreign resources, including cotton and timber, vital for industrialization."
c_alkb,The development of the factory system centralized production and increased the specialization of labor.,"c_alkb, The development of the factory system centralized production and increased the specialization of labor."
c_fr4T,Mechanization is the process of using machines to replace human labor in industries such as textile manufacturing and agriculture.,"c_fr4T, Mechanization is the process of using machines to replace human labor in industries such as textile manufacturing and agriculture."
c_MLFh,"Mechanization in textile production, including the spinning jenny and water frame, increased production speed and shifted manufacturing from homes to factories.","c_MLFh, Mechanization in textile production, including the spinning jenny and water frame, increased production speed and shifted manufacturing from homes to factories."
c_HvVV,"Urbanization occurred as people migrated from rural areas to cities in search of industrial employment, fundamentally changing social structures.","c_HvVV, Urbanization occurred as people migrated from rural areas to cities in search of industrial employment, fundamentally changing social structures."
c_yJ0C,"Britain's powerful naval and commercial fleet facilitated global trade, essential for importing raw materials and exporting manufactured goods.","c_yJ0C, Britain's powerful naval and commercial fleet facilitated global trade, essential for importing raw materials and exporting manufactured goods."
c_kRzx,"The Industrial Revolution began in Great Britain in the mid-18th century, fueled by technological innovations like the steam engine, transforming manufacturing through mechanical production and factory systems.","c_kRzx, The Industrial Revolution began in Great Britain in the mid-18th century, fueled by technological innovations like the steam engine, transforming manufacturing through mechanical production and factory systems."
c_kNqA,"Industrialization spread from Britain to Belgium, France, Germany, Russia, Japan, and the United States in the 19th century due to favorable conditions like natural resources, capital, and supportive government policies.","c_kNqA, Industrialization spread from Britain to Belgium, France, Germany, Russia, Japan, and the United States in the 19th century due to favorable conditions like natural resources, capital, and supportive government policies."
c_MULc,"The United States surpassed Britain as the world's most industrialized nation by 1900, powered by abundant natural resources, political stability, and labor supplied by immigrants and rural migrants.","c_MULc, The United States surpassed Britain as the world's most industrialized nation by 1900, powered by abundant natural resources, political stability, and labor supplied by immigrants and rural migrants."
c_YWjQ,"Industrialization increased the global manufacturing shares of European countries and the United States, while Middle Eastern and Asian regions like China and India experienced declines, shifting from major manufacturers to exporters of raw materials.","c_YWjQ, Industrialization increased the global manufacturing shares of European countries and the United States, while Middle Eastern and Asian regions like China and India experienced declines, shifting from major manufacturers to exporters of raw materials."
c_lxPU,"European mass-produced textiles outcompeted traditional industries in Asia, causing regions like China, India, and Egypt to lose dominance in textile production and leading to economic decline.","c_lxPU, European mass-produced textiles outcompeted traditional industries in Asia, causing regions like China, India, and Egypt to lose dominance in textile production and leading to economic decline."
c_WTiX,"Technological advancements like steam engines allowed factories to be located away from waterways, and steam-powered ships enabled faster global trade, contributing to an interconnected world economy.","c_WTiX, Technological advancements like steam engines allowed factories to be located away from waterways, and steam-powered ships enabled faster global trade, contributing to an interconnected world economy."
